"","tFirst","tSecond","type"
"244",2021-09-13 21:54:42,2021-09-14 10:44:26,1
"245",2021-09-14 10:44:26,2021-09-14 21:54:42,2
"246",2021-09-14 21:54:42,2021-09-15 10:46:56,1
"247",2021-09-15 10:46:56,2021-09-15 21:50:27,2
"248",2021-09-15 21:50:27,2021-09-16 10:19:11,1
"249",2021-09-16 10:19:11,2021-09-16 21:54:42,2
"250",2021-09-16 21:54:42,2021-09-17 10:41:56,1
"251",2021-09-17 10:41:56,2021-09-17 21:53:12,2
"252",2021-09-17 21:53:12,2021-09-18 10:40:11,1
"253",2021-09-18 10:40:11,2021-09-18 22:13:37,2
"254",2021-09-18 22:13:37,2021-09-19 10:55:11,1
"255",2021-09-19 10:55:11,2021-09-19 22:21:22,2
"256",2021-09-19 22:21:22,2021-09-20 10:44:11,1
"257",2021-09-20 10:44:11,2021-09-20 22:17:12,2
"258",2021-09-20 22:17:12,2021-09-21 10:50:31,1
"259",2021-09-21 10:50:31,2021-09-21 22:21:52,2
"260",2021-09-21 22:21:52,2021-09-22 10:42:11,1
"261",2021-09-22 10:42:11,2021-09-22 22:21:52,2
"262",2021-09-22 22:21:52,2021-09-23 10:47:41,1
"263",2021-09-23 10:47:41,2021-09-23 22:23:12,2
"264",2021-09-23 22:23:12,2021-09-24 10:45:11,1
"265",2021-09-24 10:45:11,2021-09-24 22:23:12,2
"266",2021-09-24 22:23:12,2021-09-25 11:00:41,1
"267",2021-09-25 11:00:41,2021-09-25 22:13:12,2
"268",2021-09-25 22:13:12,2021-09-26 10:56:56,1
"269",2021-09-26 10:56:56,2021-09-26 22:18:12,2
"270",2021-09-26 22:18:12,2021-09-27 11:02:47,1
"271",2021-09-27 11:02:47,2021-09-27 22:32:12,2
"272",2021-09-27 22:32:12,2021-09-28 10:55:11,1
"273",2021-09-28 10:55:11,2021-09-28 22:32:12,2
"274",2021-09-28 22:32:12,2021-09-29 11:10:41,1
"275",2021-09-29 11:10:41,2021-09-29 22:35:27,2
"276",2021-09-29 22:35:27,2021-09-30 11:06:56,1
"277",2021-09-30 11:06:56,2021-09-30 22:30:27,2
"278",2021-09-30 22:30:27,2021-10-01 11:06:07,1
"279",2021-10-01 11:06:07,2021-10-01 22:46:16,2
"280",2021-10-01 22:46:16,2021-10-02 11:02:11,1
"281",2021-10-02 11:02:11,2021-10-02 22:35:27,2
"282",2021-10-02 22:35:27,2021-10-03 11:06:06,1
"283",2021-10-03 11:06:06,2021-10-03 22:31:42,2
"284",2021-10-03 22:31:42,2021-10-04 11:00:11,1
"285",2021-10-04 11:00:11,2021-10-04 22:35:27,2
"286",2021-10-04 22:35:27,2021-10-05 10:49:46,1
"287",2021-10-05 10:49:46,2021-10-05 22:39:36,2
"288",2021-10-05 22:39:36,2021-10-06 11:01:56,1
"289",2021-10-06 11:01:56,2021-10-06 22:34:12,2
"290",2021-10-06 22:34:12,2021-10-07 11:01:56,1
"291",2021-10-07 11:01:56,2021-10-07 22:38:36,2
"292",2021-10-07 22:38:36,2021-10-08 10:50:48,1
"293",2021-10-08 10:50:48,2021-10-08 22:34:12,2
"294",2021-10-08 22:34:12,2021-10-09 11:02:47,1
"295",2021-10-09 11:02:47,2021-10-09 22:31:42,2
"296",2021-10-09 22:31:42,2021-10-10 11:05:11,1
"297",2021-10-10 11:05:11,2021-10-10 22:33:36,2
"298",2021-10-10 22:33:36,2021-10-11 10:57:41,1
"299",2021-10-11 10:57:41,2021-10-11 22:34:12,2
"300",2021-10-11 22:34:12,2021-10-12 10:58:11,1
"301",2021-10-12 10:58:11,2021-10-12 22:35:12,2
"302",2021-10-12 22:35:12,2021-10-13 11:00:11,1
"303",2021-10-13 11:00:11,2021-10-13 22:27:12,2
"304",2021-10-13 22:27:12,2021-10-14 11:02:47,1
"305",2021-10-14 11:02:47,2021-10-14 22:30:27,2
"306",2021-10-14 22:30:27,2021-10-15 10:52:41,1
"307",2021-10-15 10:52:41,2021-10-15 22:35:12,2
"308",2021-10-15 22:35:12,2021-10-16 10:53:11,1
"309",2021-10-16 10:53:11,2021-10-16 22:35:27,2
"310",2021-10-16 22:35:27,2021-10-17 10:53:51,1
"311",2021-10-17 10:53:51,2021-10-17 22:28:36,2
"312",2021-10-17 22:28:36,2021-10-18 10:56:56,1
"313",2021-10-18 10:56:56,2021-10-18 22:28:32,2
"314",2021-10-18 22:28:32,2021-10-19 11:01:56,1
"315",2021-10-19 11:01:56,2021-10-19 22:31:42,2
"316",2021-10-19 22:31:42,2021-10-20 10:54:11,1
"317",2021-10-20 10:54:11,2021-10-20 19:49:36,2
"318",2021-10-20 19:49:36,2021-10-20 19:52:47,1
"319",2021-10-20 19:52:47,2021-10-20 22:30:27,2
"320",2021-10-20 22:30:27,2021-10-21 10:49:39,1
"321",2021-10-21 10:49:39,2021-10-21 22:30:12,2
"322",2021-10-21 22:30:12,2021-10-22 10:55:47,1
"323",2021-10-22 10:55:47,2021-10-22 22:29:42,2
"324",2021-10-22 22:29:42,2021-10-23 10:47:41,1
"325",2021-10-23 10:47:41,2021-10-23 22:30:27,2
"326",2021-10-23 22:30:27,2021-10-24 10:51:56,1
"327",2021-10-24 10:51:56,2021-10-24 22:31:42,2
"328",2021-10-24 22:31:42,2021-10-25 10:51:56,1
"329",2021-10-25 10:51:56,2021-10-25 22:32:22,2
"330",2021-10-25 22:32:22,2021-10-26 10:58:51,1
"331",2021-10-26 10:58:51,2021-10-26 22:33:36,2
"332",2021-10-26 22:33:36,2021-10-27 10:53:11,1
"333",2021-10-27 10:53:11,2021-10-27 22:26:52,2
"334",2021-10-27 22:26:52,2021-10-28 10:52:47,1
"335",2021-10-28 10:52:47,2021-10-28 22:32:36,2
"336",2021-10-28 22:32:36,2021-10-29 10:51:56,1
"337",2021-10-29 10:51:56,2021-10-29 22:32:57,2
"338",2021-10-29 22:32:57,2021-10-30 10:52:47,1
"339",2021-10-30 10:52:47,2021-10-30 22:28:12,2
"340",2021-10-30 22:28:12,2021-10-31 10:58:21,1
"341",2021-10-31 10:58:21,2021-10-31 22:30:27,2
"342",2021-10-31 22:30:27,2021-11-01 10:56:56,1
"343",2021-11-01 10:56:56,2021-11-01 22:33:32,2
"344",2021-11-01 22:33:32,2021-11-02 10:53:51,1
"345",2021-11-02 10:53:51,2021-11-02 22:30:27,2
"346",2021-11-02 22:30:27,2021-11-03 10:51:56,1
"347",2021-11-03 10:51:56,2021-11-03 22:32:57,2
"348",2021-11-03 22:32:57,2021-11-04 10:53:21,1
"349",2021-11-04 10:53:21,2021-11-04 22:34:42,2
"350",2021-11-04 22:34:42,2021-11-05 10:53:47,1
"351",2021-11-05 10:53:47,2021-11-05 22:32:54,2
"352",2021-11-05 22:32:54,2021-11-06 10:50:31,1
"353",2021-11-06 10:50:31,2021-11-06 22:31:27,2
"354",2021-11-06 22:31:27,2021-11-07 10:51:56,1
"355",2021-11-07 10:51:56,2021-11-07 22:29:36,2
"356",2021-11-07 22:29:36,2021-11-08 10:51:56,1
"357",2021-11-08 10:51:56,2021-11-08 22:37:32,2
"358",2021-11-08 22:37:32,2021-11-09 10:53:11,1
"359",2021-11-09 10:53:11,2021-11-09 22:40:12,2
"360",2021-11-09 22:40:12,2021-11-10 10:52:47,1
"361",2021-11-10 10:52:47,2021-11-10 22:36:36,2
"362",2021-11-10 22:36:36,2021-11-11 10:41:56,1
"363",2021-11-11 10:41:56,2021-11-11 22:34:36,2
"364",2021-11-11 22:34:36,2021-11-12 10:44:26,1
"365",2021-11-12 10:44:26,2021-11-12 22:36:52,2
"366",2021-11-12 22:36:52,2021-11-13 10:47:11,1
"367",2021-11-13 10:47:11,2021-11-13 22:37:12,2
"368",2021-11-13 22:37:12,2021-11-14 10:48:51,1
"369",2021-11-14 10:48:51,2021-11-14 22:40:27,2
"370",2021-11-14 22:40:27,2021-11-15 10:49:29,1
